Job Title,Location,Salary,Monthly Salary,Locality,City,State,Annual Salary,Salary Level,Work Mode
Management Trainee,"Delhi, Delhi","₹23,082 - ₹60,000 a month",41541.0,,Delhi,Delhi,498492.0,Market Standard Salary,Onsite
Trainee Store,"Vypin, Kerala","From ₹10,000 a month",,,Vypin,Kerala,,High Standard Salary,Onsite
QC- Jr. Officer,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,,High Standard Salary,Onsite
Website Designer & Developer,"Namakkal, Tamil Nadu","₹1,20,000 - ₹6,00,000 a year",360000.0,,Namakkal,Tamil Nadu,4320000.0,High Standard Salary,Onsite
Store In-charge,"Runkata, Agra, Uttar Pradesh","From ₹13,000 a month",,Runkata,Agra,Uttar Pradesh,,High Standard Salary,Onsite
fresher's PUC and Graduates,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,,High Standard Salary,Onsite
PHP Trainee/ Fresher,"Jaipur, Rajasthan",Not specified,,,Jaipur,Rajasthan,,High Standard Salary,Onsite
SEO Fresher/Trainee,"Faridabad, Haryana",Not specified,,,Faridabad,Haryana,,High Standard Salary,Onsite
Operations executive,"Domlur, Bengaluru, Karnataka","₹22,000 - ₹26,000 a month",24000.0,Domlur,Bengaluru,Karnataka,288000.0,Market Standard Salary,Onsite
Intern - Software Development [Fresher],"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,,High Standard Salary,Onsite
Trainee Web Developer,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu,,High Standard Salary,Onsite
Business Development,"Thane, Maharashtra","₹11,957.98 - ₹52,489.13 a month",32223.555,,Thane,Maharashtra,386682.66,Market Standard Salary,Onsite
Trainee - Quality,"Delhi, Delhi","₹17,000 - ₹35,000 a month",26000.0,,Delhi,Delhi,312000.0,Market Standard Salary,Onsite
Modelling,"Mumbai, Maharashtra","₹30,000 - ₹45,000 a month",37500.0,,Mumbai,Maharashtra,450000.0,Market Standard Salary,Onsite
HR Intern,Remote,"₹6,086 - ₹20,000 a month",13043.0,Remote,Remote,Remote,156516.0,Market Standard Salary,Remote
Computer Hardware & Networking Engineer,"Kochi, Kerala","₹5,000 - ₹6,500 a month",5750.0,,Kochi,Kerala,69000.0,Market Standard Salary,Onsite
Technical Marketing,"Bengaluru, Karnataka","₹4,50,000 a year",450000.0,,Bengaluru,Karnataka,5400000.0,High Standard Salary,Onsite
Industrial Trainee - Coffee,"Kushalnagar, Karnataka",Not specified,,,Kushalnagar,Karnataka,,High Standard Salary,Onsite
"Data Entry (Fresher), Tiruppur","Tiruppur, Tamil Nadu","₹11,000 - ₹13,000 a month",12000.0,,Tiruppur,Tamil Nadu,144000.0,Market Standard Salary,Onsite
Staff Trainee,"Amroha, Uttar Pradesh","₹1,25,000 - ₹2,00,000 a year",162500.0,,Amroha,Uttar Pradesh,1950000.0,Above Medium Standard Salary,Onsite
Video Editor in Coimbatore,"Coimbatore, Tamil Nadu","₹8,000 - ₹20,000 a month",14000.0,,Coimbatore,Tamil Nadu,168000.0,Market Standard Salary,Onsite
Unit Coordinator,"Yadgir, Karnataka","Up to ₹20,000 a month",,,Yadgir,Karnataka,,High Standard Salary,Onsite
Web Developer Trainees (Freshers),"Calicut, Kerala",Not specified,,,Calicut,Kerala,,High Standard Salary,Onsite
Office Assistant,"Kochi, Kerala","₹8,086 - ₹12,000 a month",10043.0,,Kochi,Kerala,120516.0,Market Standard Salary,Onsite
Software Trainee,"Thiruvananthapuram, Kerala",Not specified,,,Thiruvananthapuram,Kerala,,High Standard Salary,Onsite
Trainee Executive,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,,High Standard Salary,Onsite
Business Development Associate,"Coimbatore, Tamil Nadu","₹15,000 - ₹40,000 a month",27500.0,,Coimbatore,Tamil Nadu,330000.0,Market Standard Salary,Onsite
Looking for Course Counsellors/Tele callers on Commission Basis,"Kayankulam, Kerala","₹20,000 - ₹80,000 a month",50000.0,,Kayankulam,Kerala,600000.0,Medium Standard Salary,Onsite
Software Trainee,"Thiruvananthapuram District, Kerala","₹5,000 - ₹8,000 a month",6500.0,,Thiruvananthapuram District,Kerala,78000.0,Market Standard Salary,Onsite
Trainee,"Perungudi, Chennai, Tamil Nadu","₹15,000 - ₹18,000 a month",16500.0,Perungudi,Chennai,Tamil Nadu,198000.0,Market Standard Salary,Onsite
Opening for Delivery Partner,"Kottayam, Kerala","From ₹20,086 a month",,,Kottayam,Kerala,,High Standard Salary,Onsite
Trainee,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu,,High Standard Salary,Onsite
Service Engineer(Trainee),"Gurugram, Haryana",Not specified,,,Gurugram,Haryana,,High Standard Salary,Onsite
Business Development Associate,Remote,"₹10,813.14 - ₹39,892.82 a month",25352.98,Remote,Remote,Remote,304235.75,Market Standard Salary,Remote
Accounting Faculty,"Tiruvalla, Kerala","₹10,000 - ₹13,000 a month",11500.0,,Tiruvalla,Kerala,138000.0,Market Standard Salary,Onsite
Production Co-ordinator,"Mumbai, Maharashtra","₹8,000 - ₹25,000 a month",16500.0,,Mumbai,Maharashtra,198000.0,Market Standard Salary,Onsite
Female Allocation Executive,"Kochi, Kerala","₹20,000 - ₹23,000 a month",21500.0,,Kochi,Kerala,258000.0,Market Standard Salary,Onsite
Delivery Executive/Delivery Partner,"Gurugram, Haryana","₹18,000 - ₹35,000 a month",26500.0,,Gurugram,Haryana,318000.0,Market Standard Salary,Onsite
Electrical Assembler,"Coimbatore, Tamil Nadu","₹20,000 a month",20000.0,,Coimbatore,Tamil Nadu,240000.0,Market Standard Salary,Onsite
Architect,"Ahmedabad, Gujarat","₹18,000 - ₹35,000 a month",26500.0,,Ahmedabad,Gujarat,318000.0,Market Standard Salary,Onsite
Sales Officer (SO),"Alleppey, Kerala","₹18,000 - ₹22,000 a month",20000.0,,Alleppey,Kerala,240000.0,Market Standard Salary,Onsite
Project Assistant,"Attur, Tamil Nadu","₹12,937.04 - ₹15,000.00 a month",13968.52,,Attur,Tamil Nadu,167622.23,Market Standard Salary,Onsite
Content Writer-Remote,"Calicut, Kerala","₹2,00,000 - ₹3,00,000 a year",250000.0,,Calicut,Kerala,3000000.0,Above Medium Standard Salary,Onsite
Customer Relationship Executive - B2B,"Thiruvananthapuram, Kerala","₹14,000 - ₹20,000 a month",17000.0,,Thiruvananthapuram,Kerala,204000.0,Market Standard Salary,Onsite
Office Assistant,"Kochi, Kerala","₹8,086.00 - ₹22,552.53 a month",15319.265,,Kochi,Kerala,183831.19,Market Standard Salary,Onsite
Air Conditioning Technician,"Ambawadi, Ahmedabad, Gujarat","Up to ₹50,000 a month",,Ambawadi,Ahmedabad,Gujarat,,High Standard Salary,Onsite
FRESHER graduate (Any Field),"Jagnath Plot, Rajkot, Gujarat","₹1,20,000 - ₹3,50,000 a year",235000.0,Jagnath Plot,Rajkot,Gujarat,2820000.0,Above Medium Standard Salary,Onsite
Purchase Assistant,"Tiruppur, Tamil Nadu","₹13,000 a month",13000.0,,Tiruppur,Tamil Nadu,156000.0,Market Standard Salary,Onsite
Badminton Coach,"Bengaluru, Karnataka","From ₹20,000 a month",,,Bengaluru,Karnataka,,High Standard Salary,Onsite
Badminton Coach,"Bengaluru, Karnataka","From ₹20,000 a month",,,Bengaluru,Karnataka,,High Standard Salary,Onsite
AutoCAD Draftsman,"Gundavali, Mumbai, Maharashtra","₹10,000 - ₹20,000 a month",15000.0,Gundavali,Mumbai,Maharashtra,180000.0,Market Standard Salary,Onsite
"Staff Nurse,ANM, GNM,","Chennai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,,Chennai,Tamil Nadu,150000.0,Market Standard Salary,Onsite
WANTED B.E CIVIL CANDIDATES WITH CAD KNOWLEDGE,"Simmakkal, Madurai, Tamil Nadu","₹12,000 - ₹22,000 a month",17000.0,Simmakkal,Madurai,Tamil Nadu,204000.0,Market Standard Salary,Onsite
Digital Marketing Specialist,"Chandigarh, Chandigarh","₹1,80,000 - ₹3,00,000 a year",240000.0,,Chandigarh,Chandigarh,2880000.0,Above Medium Standard Salary,Onsite
Spot Offer for Customer Support Executive,"Teynampet, Chennai, Tamil Nadu","₹11,000 - ₹17,000 a month",14000.0,Teynampet,Chennai,Tamil Nadu,168000.0,Market Standard Salary,Onsite
Associate Sales Manager,"Vashi, Navi Mumbai, Maharashtra","From ₹20,000 a month",,Vashi,Navi Mumbai,Maharashtra,,High Standard Salary,Onsite
Assembly Line Operator,"Chennai, Tamil Nadu","₹13,000 - ₹15,000 a month",14000.0,,Chennai,Tamil Nadu,168000.0,Market Standard Salary,Onsite
Field Marketing Executive,"Egmore, Chennai, Tamil Nadu","₹9,838.25 - ₹27,777.89 a month",18808.07,Egmore,Chennai,Tamil Nadu,225696.84,Market Standard Salary,Onsite
Receptionist (Female),"Navlakha, Indore, Madhya Pradesh","₹10,000 - ₹12,000 a month",11000.0,Navlakha,Indore,Madhya Pradesh,132000.0,Market Standard Salary,Onsite
Doctor,"Bellary, Karnataka","₹20,000 - ₹25,000 a month",22500.0,,Bellary,Karnataka,270000.0,Market Standard Salary,Onsite
Delivery Drivers / Delivery Executives / Delivery Boys / Freshers,"Chandigarh, Chandigarh","Up to ₹30,000 a month",,,Chandigarh,Chandigarh,,High Standard Salary,Onsite
Staff Nurse- Female,"Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Chennai,Tamil Nadu,210000.0,Market Standard Salary,Onsite
Business Development Executive (BDE),"Kochi, Kerala","₹13,000 - ₹15,000 a month",14000.0,,Kochi,Kerala,168000.0,Market Standard Salary,Onsite
Customer Service Representative,"Indore, Madhya Pradesh","₹10,000 - ₹15,000 a month",12500.0,,Indore,Madhya Pradesh,150000.0,Market Standard Salary,Onsite
Staff Nurse,"Kottayam, Kerala","From ₹20,000 a month",,,Kottayam,Kerala,,High Standard Salary,Onsite
Female Customer Care Executive (Surat),"Surat, Gujarat","₹10,000 - ₹16,000 a month",13000.0,,Surat,Gujarat,156000.0,Market Standard Salary,Onsite
Sales Representative,"Uppal Kalan, Hyderabad, Telangana","₹10,000 - ₹15,000 a month",12500.0,Uppal Kalan,Hyderabad,Telangana,150000.0,Market Standard Salary,Onsite
Travel Consultant (FEMALE ONLY),"Jetalpur, Vadodara, Gujarat","₹15,000 - ₹25,000 a month",20000.0,Jetalpur,Vadodara,Gujarat,240000.0,Market Standard Salary,Onsite
Digital Marketing Executive,"Zirakpur, Punjab","₹6,000 - ₹8,000 a month",7000.0,,Zirakpur,Punjab,84000.0,Market Standard Salary,Onsite
Lead Generation Specialist,"Bengaluru, Karnataka","₹2,40,000 - ₹3,20,000 a year",280000.0,,Bengaluru,Karnataka,3360000.0,Above Medium Standard Salary,Onsite
Assembly Technician cum Winding Technician,"Karur, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Karur,Tamil Nadu,162000.0,Market Standard Salary,Onsite
Business Development Associate,"Chinchwad, Pune, Maharashtra","From ₹15,000 a month",,Chinchwad,Pune,Maharashtra,,High Standard Salary,Onsite
డెలివరీ ఎగ్జిక్యూటివ్ / డెలివరీ భాగస్వామి,"Hyderabad, Telangana","₹18,000 - ₹35,000 a month",26500.0,,Hyderabad,Telangana,318000.0,Market Standard Salary,Onsite
Urgent Requirements of CHEMISTRY Teacher for NEET & JEE Main level,"Pune, Maharashtra","₹3,60,000 - ₹6,00,000 a year",480000.0,,Pune,Maharashtra,5760000.0,High Standard Salary,Onsite
Digital Marketing Specialist,"Gurugram, Haryana","₹20,000 - ₹30,000 a month",25000.0,,Gurugram,Haryana,300000.0,Market Standard Salary,Onsite
Field Executive,"Ahmedabad, Gujarat","₹10,000 - ₹12,000 a month",11000.0,,Ahmedabad,Gujarat,132000.0,Market Standard Salary,Onsite
Telecaller Executive,"Gurugram, Haryana","₹8,000 - ₹15,000 a month",11500.0,,Gurugram,Haryana,138000.0,Market Standard Salary,Onsite
Bussiness Development Executive,"Ashok Nagar, Ranchi, Jharkhand","₹8,000 - ₹15,000 a month",11500.0,Ashok Nagar,Ranchi,Jharkhand,138000.0,Market Standard Salary,Onsite
Inbound Banking Hindi Voice Process,"Teynampet, Chennai, Tamil Nadu","₹14,000 - ₹16,000 a month",15000.0,Teynampet,Chennai,Tamil Nadu,180000.0,Market Standard Salary,Onsite
Consultant Doctor,"Salem, Tamil Nadu","₹20,000 - ₹25,000 a month",22500.0,,Salem,Tamil Nadu,270000.0,Market Standard Salary,Onsite
Architectural Draftsperson,"Nikol, Ahmedabad, Gujarat","₹8,000 - ₹25,000 a month",16500.0,Nikol,Ahmedabad,Gujarat,198000.0,Market Standard Salary,Onsite
Sales and Customer Service Executive,"Nungambakkam High Road, Chennai, Tamil Nadu","₹18,000 - ₹22,000 a month",20000.0,Nungambakkam High Road,Chennai,Tamil Nadu,240000.0,Market Standard Salary,Onsite
Fashion Designer(Female) as a FASHION CONSULTANT for a Retail Store,"R.S.Puram West, Tamil Nadu","From ₹12,000 a month",,,R.S.Puram West,Tamil Nadu,,High Standard Salary,Onsite
Aesthetic Surgeon,"T Nagar, Chennai, Tamil Nadu","₹45,000 - ₹50,000 a month",47500.0,T Nagar,Chennai,Tamil Nadu,570000.0,Market Standard Salary,Onsite
Robotics / STEM Trainer,"Jaipur, Rajasthan","₹1,80,000 - ₹4,80,000 a year",330000.0,,Jaipur,Rajasthan,3960000.0,Above Medium Standard Salary,Onsite
Diploma Mechanical Engineer - Design Engineer Trainee,"Coimbatore, Tamil Nadu","₹13,000 - ₹15,000 a month",14000.0,,Coimbatore,Tamil Nadu,168000.0,Market Standard Salary,Onsite
Business Development Executive (BDE),"Bopal, Ahmedabad, Gujarat","₹15,000 - ₹35,000 a month",25000.0,Bopal,Ahmedabad,Gujarat,300000.0,Market Standard Salary,Onsite
Admission Counselor/ Telecaler Executive,"Chandigarh, Chandigarh","From ₹15,000 a month",,,Chandigarh,Chandigarh,,High Standard Salary,Onsite
Sales Staff,"Chennai, Tamil Nadu","₹15,000 - ₹16,000 a month",15500.0,,Chennai,Tamil Nadu,186000.0,Market Standard Salary,Onsite
STUDY ABROAD Admission Process Associate,"Kochi, Kerala","₹8,000 - ₹15,000 a month",11500.0,,Kochi,Kerala,138000.0,Market Standard Salary,Onsite
Production Supervisor,"Rajkot, Gujarat","From ₹10,000 a month",,,Rajkot,Gujarat,,High Standard Salary,Onsite
